THORLABS (LIUCWHA),
258.96291,0
259.16963,0
259.37637,0
259.58313,0
259.78991,0
259.9967,0
260.20351,0
260.41034,0
260.61719,0
260.82406,0
261.03094,0
261.23784,0
261.44476,0
261.65169,0
261.85864,0
262.06561,0
262.2726,0
262.47961,0
262.68663,0
262.89367,0
263.10073,0
263.30781,0
263.5149,0
263.72201,0
263.92914,0
264.13629,0
264.34345,0
264.55063,0
264.75783,0
264.96505,0
265.17228,0
265.37953,0
265.5868,0
265.79409,0
266.00139,0
266.20871,0
266.41605,0
266.62341,0
266.83078,0
267.03817,0
267.24558,0
267.45301,0
267.66045,0
267.86791,0
268.07539,0
268.28289,0
268.4904,0
268.69793,0
268.90548,0
269.11305,0
269.32063,0
269.52823,0
269.73585,0
269.94349,0
270.15114,0
270.35881,0
270.5665,0
270.77421,0
270.98193,0
271.18967,0
271.39743,0
271.60521,0
271.813,0
272.02081,0
272.22864,0
272.43648,0
272.64434,0
272.85222,0
273.06012,0
273.26804,0
273.47597,0
273.68392,0
273.89188,0
274.09987,0
274.30787,0
274.51589,0
274.72392,0
274.93198,0
275.14005,0
275.34814,0
275.55624,0
275.76437,0
275.97251,0
276.18066,0
276.38884,0
276.59703,0
276.80524,0
277.01347,0
277.22171,0
277.42997,0
277.63825,0
277.84655,0
278.05486,0
278.26319,0
278.47154,0
278.6799,0
278.88829,0
279.09669,0
279.3051,0
279.51354,0
279.72199,0
279.93046,0
280.13894,0
280.34745,0
280.55597,0
280.7645,0
280.97306,0
281.18163,0
281.39022,0
281.59883,0
281.80745,0
282.01609,0
282.22475,0
282.43342,0
282.64212,0
282.85083,0
283.05955,0
283.2683,0
283.47706,0
283.68584,0
283.89463,0
284.10345,0
284.31228,0
284.52112,0
284.72999,0
284.93887,0
285.14777,0
285.35668,0
285.56562,0
285.77457,0
285.98353,0
286.19252,0
286.40152,0
286.61054,0
286.81957,0
287.02863,0
287.2377,0
287.44678,0
287.65589,0
287.86501,0
288.07415,0
288.2833,0
288.49248,0
288.70167,0
288.91087,0
289.1201,0
289.32934,0
289.53859,0
289.74787,0
289.95716,0
290.16647,0
290.3758,0
290.58514,0
290.7945,0
291.00388,0
291.21327,0
291.42268,0
291.63211,0
291.84156,0
292.05102,0
292.2605,0
292.47,0
292.67951,0
292.88904,0
293.09859,0
293.30815,0
293.51773,0
293.72733,0
293.93695,0
294.14658,0
294.35623,0
294.56589,0
294.77558,0
294.98528,0
295.195,0
295.40473,0
295.61448,0
295.82425,0
296.03403,0
296.24384,0
296.45366,0
296.66349,0
296.87334,0
297.08321,0
297.2931,0
297.503,0
297.71292,0
297.92286,0
298.13282,0
298.34279,0
298.55277,0
298.76278,0
298.9728,0
299.18284,0
299.3929,0
299.60297,0
299.81306,0
300.02316,0
300.23329,0
300.44343,0
300.65358,0
300.86376,0
301.07395,0
301.28416,0
301.49438,0
301.70462,0
301.91488,0
302.12515,0
302.33544,0
302.54575,0
302.75608,0
302.96642,0
303.17678,0
303.38715,0
303.59755,0
303.80796,0
304.01838,0
304.22882,0
304.43928,0
304.64976,0
304.86025,0
305.07076,0
305.28129,0
305.49183,0
305.70239,0
305.91297,0
306.12356,0
306.33417,0
306.5448,0
306.75545,0
306.96611,0
307.17678,0
307.38748,0
307.59819,0
307.80892,0
308.01966,0
308.23042,0
308.4412,0
308.65199,0
308.8628,0
309.07363,0
309.28448,0
309.49534,0
309.70622,0
309.91711,0
310.12802,0
310.33895,0
310.54989,0
310.76085,0
310.97183,0
311.18283,0
311.39384,0
311.60487,0
311.81591,0
312.02697,0
312.23805,0
312.44914,0
312.66025,0
312.87138,0
313.08253,0
313.29369,0
313.50486,0
313.71606,0
313.92727,0
314.1385,0
314.34974,0
314.561,0
314.77228,0
314.98357,0
315.19488,0
315.40621,0
315.61755,0
315.82891,0
316.04029,0
316.25168,0
316.46309,0
316.67452,0
316.88596,0
317.09742,0
317.3089,0
317.52039,0
317.7319,0
317.94342,0
318.15496,0
318.36652,0
318.5781,0
318.78969,0
319.0013,0
319.21292,0
319.42456,0
319.63622,0
319.84789,0
320.05958,0
320.27129,0
320.48302,0
320.69476,0
320.90651,0
321.11828,0
321.33007,0
321.54188,0
321.7537,0
321.96554,0
322.1774,0
322.38927,0
322.60116,0
322.81306,0
323.02498,0
323.23692,0
323.44887,0
323.66084,0
323.87283,0
324.08483,0
324.29685,0
324.50889,0
324.72094,0
324.93301,0
325.14509,0
325.35719,0
325.56931,0
325.78145,0
325.9936,0
326.20576,0
326.41795,0
326.63015,0
326.84236,0
327.0546,0
327.26684,0
327.47911,0
327.69139,0
327.90369,0
328.116,0
328.32833,0
328.54068,0
328.75304,0
328.96542,0
329.17782,0
329.39023,0
329.60266,0
329.8151,0
330.02756,0
330.24004,0
330.45253,0
330.66504,0
330.87757,0
331.09011,0
331.30267,0
331.51525,0
331.72784,0
331.94045,0
332.15307,0
332.36571,0
332.57837,0
332.79104,0
333.00373,0
333.21643,0
333.42915,0
333.64189,0
333.85464,0
334.06741,0
334.2802,0
334.493,0
334.70582,0
334.91866,0
335.13151,0
335.34437,0
335.55726,0
335.77016,0
335.98307,0
336.196,0
336.40895,0
336.62192,0
336.8349,0
337.04789,0
337.26091,0
337.47394,0
337.68698,0
337.90004,0
338.11312,0
338.32621,0
338.53932,0
338.75245,0
338.96559,0
339.17875,0
339.39192,0
339.60511,0
339.81832,0
340.03154,0
340.24478,0
340.45804,0
340.67131,0
340.88459,0
341.0979,0
341.31122,0
341.52455,0
341.7379,0
341.95127,0
342.16465,0
342.37805,0
342.59147,0
342.8049,0
343.01835,0
343.23181,0
343.44529,0
343.65879,0
343.8723,0
344.08583,0
344.29937,0
344.51293,0
344.72651,0
344.9401,0
345.15371,0
345.36733,0
345.58097,0
345.79463,0
346.0083,0
346.22199,0
346.43569,0
346.64941,0
346.86315,0
347.0769,0
347.29067,0
347.50446,0
347.71826,0
347.93207,0
348.1459,0
348.35975,0
348.57362,0
348.78749,0
349.00139,0
349.2153,0
349.42923,0
349.64317,0
349.85713,0
350.07111,0
350.2851,0
350.49911,0
350.71313,0
350.92717,0
351.14122,0
351.3553,0
351.56938,0
351.78349,0
351.9976,0
352.21174,0
352.42589,0
352.64005,0
352.85424,0
353.06844,0
353.28265,0
353.49688,0
353.71112,0
353.92539,0
354.13966,0
354.35396,0
354.56827,0
354.78259,0
354.99693,0
355.21129,0
355.42566,0
355.64005,0
355.85445,0
356.06887,0
356.28331,0
356.49776,0
356.71223,0
356.92671,0
357.14121,0
357.35572,0
357.57025,0
357.7848,0
357.99936,0
358.21394,0
358.42853,0
358.64314,0
358.85777,0
359.07241,0
359.28706,0
359.50173,0
359.71642,0
359.93113,0
360.14585,0
360.36058,0
360.57533,0
360.7901,0
361.00488,0
361.21968,0
361.43449,0
361.64932,0
361.86417,0
362.07903,0
362.29391,0
362.5088,0
362.72371,0
362.93863,0
363.15357,0
363.36852,0
363.58349,0
363.79848,0
364.01348,0
364.2285,0
364.44353,0
364.65858,0
364.87365,0
365.08873,0
365.30382,0
365.51894,0
365.73406,0
365.94921,0
366.16436,0
366.37954,0
366.59473,0
366.80993,0
367.02515,0
367.24039,0
367.45564,0
367.67091,0
367.88619,0
368.10149,0
368.31681,0
368.53214,0
368.74748,0
368.96285,0
369.17822,0
369.39361,0
369.60902,0
369.82445,0
370.03989,0
370.25534,0
370.47081,0
370.6863,0
370.9018,0
371.11731,0
371.33285,0
371.54839,0
371.76396,0
371.97954,0
372.19513,0
372.41074,0
372.62637,0
372.84201,0
373.05766,0
373.27334,0
373.48902,0
373.70473,0
373.92044,0
374.13618,0
374.35193,0
374.56769,0
374.78347,0
374.99927,0
375.21508,0
375.43091,0
375.64675,0
375.86261,0
376.07848,0
376.29437,0
376.51027,0
376.72619,0
376.94213,0
377.15808,0
377.37404,0
377.59002,0
377.80602,0
378.02203,0
378.23806,0
378.4541,0
378.67016,0
378.88623,0
379.10232,0
379.31842,0
379.53454,0
379.75068,0
379.96683,0
380.183,0
380.39918,0
380.61537,0
380.83158,0
381.04781,0
381.26405,0
381.48031,0
381.69659,0
381.91287,0
382.12918,0
382.3455,2.45E-05
382.56183,0
382.77818,0
382.99455,1.60E-05
383.21093,0
383.42732,0
383.64373,0
383.86016,0
384.0766,1.13E-05
384.29306,0
384.50953,0
384.72602,4.21E-05
384.94252,1.24E-05
385.15904,0
385.37557,0
385.59212,0
385.80868,7.99E-06
386.02526,0
386.24186,0
386.45847,0
386.67509,0
386.89173,0
387.10839,0
387.32506,0
387.54174,1.45E-05
387.75844,4.23E-05
387.97516,6.09E-06
388.19189,0
388.40864,0
388.6254,0
388.84218,0
389.05897,0
389.27578,4.86E-05
389.4926,0
389.70944,1.13E-05
389.92629,0
390.14316,0
390.36004,0
390.57694,0
390.79385,0
391.01078,0
391.22773,0
391.44469,0
391.66166,0
391.87865,0
392.09566,0
392.31268,0
392.52971,0
392.74676,0
392.96383,0
393.18091,1.46E-07
393.398,0
393.61511,1.46E-05
393.83224,0
394.04938,1.47E-06
394.26653,0
394.48371,0
394.70089,3.07E-05
394.91809,0
395.13531,0
395.35254,0
395.56979,0
395.78705,7.96E-06
396.00433,0
396.22162,0
396.43892,0
396.65625,0
396.87358,0
397.09094,0
397.3083,0
397.52568,1.91E-05
397.74308,0
397.96049,2.65E-05
398.17792,0
398.39536,0
398.61282,0
398.83029,0
399.04778,0
399.26528,0
399.4828,0
399.70033,0
399.91788,0
400.13544,0
400.35302,2.79E-05
400.57061,0
400.78822,0
401.00584,0
401.22348,2.88E-05
401.44113,0
401.6588,1.23E-05
401.87648,0
402.09418,0
402.31189,0
402.52962,0
402.74736,0
402.96512,3.32E-05
403.18289,6.61E-06
403.40067,0
403.61848,6.33E-06
403.83629,1.78E-05
404.05412,0
404.27197,0
404.48983,0
404.70771,5.66E-06
404.9256,0
405.14351,0
405.36143,0
405.57936,0
405.79731,1.94E-05
406.01528,0
406.23326,0
406.45126,1.83E-05
406.66927,4.09E-06
406.88729,1.00E-05
407.10533,0
407.32339,0
407.54146,0
407.75954,0
407.97764,0
408.19576,0
408.41389,1.75E-05
408.63203,8.61E-06
408.85019,0
409.06836,9.82E-06
409.28655,0
409.50476,2.26E-05
409.72297,1.13E-05
409.94121,3.92E-06
410.15946,0
410.37772,2.25E-05
410.596,8.39E-06
410.81429,0
411.0326,8.57E-07
411.25092,3.22E-05
411.46925,1.02E-05
411.68761,0
411.90597,1.34E-05
412.12435,0
412.34275,2.27E-05
412.56116,1.24E-05
412.77959,9.23E-06
412.99803,1.71E-07
413.21648,3.77E-05
413.43495,3.74E-05
413.65344,5.29E-07
413.87193,1.01E-05
414.09045,3.90E-05
414.30898,2.31E-05
414.52752,2.90E-05
414.74608,2.03E-05
414.96465,1.15E-06
415.18324,4.57E-05
415.40184,2.74E-05
415.62046,1.61E-05
415.83909,2.70E-05
416.05774,5.31E-05
416.2764,1.71E-05
416.49508,2.97E-05
416.71377,1.77E-05
416.93247,3.47E-05
417.15119,7.23E-06
417.36993,2.47E-05
417.58868,4.07E-05
417.80744,9.65E-05
418.02622,2.99E-05
418.24501,2.31E-05
418.46382,2.89E-05
418.68264,7.37E-05
418.90148,3.09E-05
419.12033,5.46E-05
419.3392,4.59E-05
419.55808,8.19E-05
419.77698,4.93E-05
419.99589,6.04E-05
420.21481,5.70E-05
420.43375,5.36E-05
420.65271,7.09E-05
420.87167,7.25E-05
421.09066,6.92E-05
421.30966,8.99E-05
421.52867,7.67E-05
421.7477,0.000105105
421.96674,9.63E-05
422.1858,7.95E-05
422.40487,0.000113306
422.62395,0.000109647
422.84305,9.67E-05
423.06217,8.33E-05
423.2813,0.000127771
423.50044,0.00011139
423.7196,0.000108937
423.93878,0.000132183
424.15796,0.000114404
424.37717,0.000133884
424.59638,0.000142924
424.81561,0.000124757
425.03486,0.000124822
425.25412,0.000165568
425.4734,0.000150867
425.69269,0.000122562
425.91199,0.000141955
426.13131,0.000184165
426.35064,0.000175599
426.56999,0.000179387
426.78935,0.000174695
427.00873,0.000191118
427.22812,0.000234813
427.44753,0.000200847
427.66695,0.000194002
427.88638,0.000214752
428.10583,0.000212277
428.3253,0.000241055
428.54477,0.000262085
428.76427,0.000246049
428.98377,0.000265141
429.2033,0.000260836
429.42283,0.000267552
429.64238,0.000279477
429.86195,0.000266756
430.08153,0.00029448
430.30112,0.000293403
430.52073,0.000313938
430.74035,0.000308298
430.95999,0.000345106
431.17964,0.000351455
431.39931,0.000381999
431.61899,0.000369773
431.83868,0.000384604
432.05839,0.00038456
432.27812,0.000372485
432.49785,0.000394182
432.71761,0.000397045
432.93737,0.000428837
433.15716,0.000417924
433.37695,0.00043777
433.59676,0.000451136
433.81659,0.000469519
434.03643,0.000489386
434.25628,0.000497307
434.47615,0.000507424
434.69603,0.000517196
434.91593,0.000514613
435.13584,0.000536181
435.35576,0.000528647
435.5757,0.00055848
435.79565,0.000586462
436.01562,0.000589949
436.23561,0.000598861
436.4556,0.000605942
436.67561,0.000620364
436.89564,0.00064318
437.11568,0.000648583
437.33573,0.000649659
437.5558,0.00067777
437.77589,0.000682506
437.99598,0.000747984
438.21609,0.000725964
438.43622,0.00073212
438.65636,0.000750524
438.87651,0.00080892
439.09668,0.000797813
439.31687,0.000826269
439.53706,0.000821512
439.75727,0.000845512
439.9775,0.000862129
440.19774,0.000904834
440.41799,0.000890542
440.63826,0.000925928
440.85855,0.000936476
441.07884,0.000973563
441.29915,0.000978664
441.51948,0.000994205
441.73982,0.001035252
441.96017,0.001081251
442.18054,0.001084049
442.40092,0.001113452
442.62132,0.001136892
442.84173,0.001140099
443.06216,0.001168081
443.2826,0.001162356
443.50305,0.001183515
443.72352,0.001199809
443.944,0.001201359
444.1645,0.001222991
444.38501,0.001260336
444.60553,0.001274349
444.82607,0.00130556
445.04662,0.001336878
445.26719,0.001354378
445.48777,0.001435698
445.70837,0.001480685
445.92898,0.00152184
446.1496,0.001568183
446.37024,0.001648298
446.59089,0.001654841
446.81156,0.001687107
447.03224,0.001697245
447.25293,0.001691455
447.47364,0.001685299
447.69436,0.001738443
447.9151,0.00174292
448.13585,0.001797765
448.35662,0.001841568
448.5774,0.001869507
448.79819,0.001891721
449.019,0.001933048
449.23982,0.001938193
449.46065,0.001957479
449.6815,0.001981629
449.90237,0.002000377
450.12325,0.002016349
450.34414,0.002017102
450.56504,0.002036647
450.78597,0.002040543
451.0069,0.002035011
451.22785,0.002058709
451.44881,0.002098659
451.66979,0.002152471
451.89078,0.002147477
452.11178,0.002125716
452.3328,0.002103933
452.55383,0.002104665
452.77488,0.002101328
452.99594,0.002023387
453.21702,0.002007588
453.43811,0.002059979
453.65921,0.00203303
453.88032,0.002042867
454.10146,0.001997622
454.3226,0.002014928
454.54376,0.002021429
454.76493,0.001961482
454.98612,0.001901213
455.20732,0.001917098
455.42854,0.001886361
455.64976,0.001893723
455.87101,0.001867161
456.09226,0.001848499
456.31354,0.001844991
456.53482,0.001812359
456.75612,0.001788833
456.97743,0.001760377
457.19876,0.001725206
457.4201,0.001674063
457.64145,0.001663064
457.86282,0.001620294
458.08421,0.001582411
458.3056,0.001533485
458.52701,0.001542999
458.74844,0.001512132
458.96988,0.001504771
459.19133,0.001475519
459.41279,0.001463917
459.63427,0.00142132
459.85577,0.001361481
460.07728,0.001349815
460.2988,0.00133959
460.52033,0.001301061
460.74188,0.001296498
460.96345,0.001280548
461.18502,0.001265954
461.40662,0.001267461
461.62822,0.001241674
461.84984,0.001201639
462.07147,0.001176282
462.29312,0.001145136
462.51478,0.00112148
462.73645,0.001109706
462.95814,0.001088462
463.17984,0.001079852
463.40156,0.001073351
463.62329,0.001043626
463.84503,0.00101573
464.06679,0.000987123
464.28856,0.000950725
464.51035,0.000928425
464.73215,0.000916996
464.95396,0.000942416
465.17579,0.000920763
465.39763,0.000911959
465.61948,0.000912669
465.84135,0.000887593
466.06323,0.000895794
466.28513,0.000872353
466.50704,0.000859718
466.72896,0.000846115
466.9509,0.000844113
467.17285,0.000843919
467.39481,0.000831586
467.61679,0.000817831
467.83878,0.000825214
468.06079,0.000805519
468.28281,0.000801989
468.50484,0.000784812
468.72689,0.000777021
468.94895,0.000771058
469.17103,0.000769293
469.39312,0.000735112
469.61522,0.000741849
469.83733,0.000730807
470.05946,0.00072831
470.28161,0.000705645
470.50376,0.000718366
470.72594,0.000694193
470.94812,0.000682678
471.17032,0.000651983
471.39253,0.000657106
471.61476,0.000642965
471.837,0.000636507
472.05925,0.000622064
472.28152,0.000635065
472.5038,0.000610505
472.72609,0.000594039
472.9484,0.000587517
473.17072,0.00058106
473.39305,0.000554584
473.6154,0.000563194
473.83777,0.000535965
474.06014,0.000537042
474.28253,0.000543413
474.50494,0.000531596
474.72735,0.000527097
474.94978,0.000521178
475.17223,0.000513838
475.39469,0.000510803
475.61716,0.000503355
475.83964,0.000498383
476.06214,0.000484952
476.28465,0.000481013
476.50718,0.000456561
476.72972,0.000466936
476.95227,0.000452686
477.17484,0.000451352
477.39742,0.000439556
477.62001,0.000443172
477.84262,0.000453375
478.06524,0.00043891
478.28788,0.000436349
478.51053,0.000433895
478.73319,0.000407118
478.95586,0.000405569
479.17855,0.000393838
479.40126,0.000390846
479.62397,0.000378125
479.8467,0.000407183
480.06945,0.000394978
480.2922,0.000393752
480.51497,0.000392503
480.73776,0.000391276
480.96056,0.000390049
481.18337,0.000388801
481.40619,0.000387574
481.62903,0.000386347
481.85188,0.000385099
482.07475,0.000383872
482.29763,0.000382645
482.52052,0.000381396
482.74342,0.000380169
482.96634,0.000378943
483.18928,0.000377716
483.41222,0.000376467
483.63518,0.00037524
483.85815,0.000374013
484.08114,0.000372765
484.30414,0.000371538
484.52715,0.000370311
484.75018,0.000369063
484.97322,0.000367836
485.19628,0.000366609
485.41934,0.00036536
485.64242,0.000364134
485.86552,0.000362907
486.08863,0.000361658
486.31175,0.000360431
486.53488,0.000359204
486.75803,0.000357956
486.98119,0.000356729
487.20437,0.000355502
487.42756,0.000354254
487.65076,0.000353027
487.87397,0.0003518
488.0972,0.000350551
488.32044,0.000349325
488.5437,0.000348098
488.76697,0.000346849
488.99025,0.000345622
489.21354,0.000344395
489.43685,0.000343147
489.66018,0.00034192
489.88351,0.000340693
490.10686,0.000339445
490.33022,0.000338218
490.5536,0.000338218
490.77699,0.00032597
491.00039,0.00033105
491.22381,0.00032117
491.44724,0.000325088
491.67068,0.000320395
491.89413,0.000347323
492.1176,0.000337034
492.34109,0.000343168
492.56458,0.000343082
492.78809,0.000336991
493.01161,0.000351326
493.23515,0.000339703
493.4587,0.000341059
493.68226,0.000349238
493.90584,0.000357224
494.12943,0.000372485
494.35303,0.000370871
494.57664,0.000376424
494.80027,0.000387359
495.02391,0.000364306
495.24757,0.000375778
495.47124,0.000389963
495.69492,0.000395258
495.91862,0.000397109
496.14232,0.000387445
496.36605,0.000393601
496.58978,0.000415857
496.81353,0.000402534
497.03729,0.000411316
497.26107,0.000401651
497.48485,0.000410519
497.70866,0.000430753
497.93247,0.000411057
498.1563,0.000412026
498.38014,0.000418118
498.60399,0.000428385
498.82786,0.00042959
499.05174,0.000435165
499.27564,0.000450814
499.49954,0.000451653
499.72346,0.000451954
499.9474,0.000441558
500.17134,0.000457529
500.3953,0.000455269
500.61928,0.000467517
500.84326,0.000462953
501.06726,0.000464439
501.29127,0.000476256
501.5153,0.000473888
501.73934,0.000500105
501.96339,0.000494014
502.18745,0.000494961
502.41153,0.000500148
502.63562,0.000504259
502.85973,0.000516227
503.08385,0.000527334
503.30798,0.000520683
503.53212,0.000533813
503.75628,0.000537407
503.98045,0.000542789
504.20463,0.000555574
504.42883,0.000558308
504.65304,0.000554218
504.87726,0.000562268
505.1015,0.000563388
505.32575,0.000585709
505.55001,0.000590875
505.77428,0.000603768
505.99857,0.000607772
506.22287,0.000604586
506.44719,0.000606523
506.67151,0.000614466
506.89585,0.000628349
507.12021,0.000631793
507.34457,0.000638165
507.56895,0.000634893
507.79335,0.000650584
508.01775,0.000667051
508.24217,0.000665802
508.4666,0.000676156
508.69105,0.00067777
508.91551,0.000689609
509.13998,0.000698929
509.36446,0.000696604
509.58896,0.000704698
509.81347,0.00071109
510.03799,0.000710423
510.26253,0.000722692
510.48708,0.00072069
510.71164,0.000735478
510.93621,0.000746649
511.1608,0.000748931
511.3854,0.00075668
511.61002,0.000767012
511.83464,0.000766366
512.05928,0.00076544
512.28394,0.000769788
512.5086,0.000775514
512.73328,0.000777882
512.95797,0.000801645
513.18268,0.000792389
513.4074,0.000804357
513.63213,0.000813354
513.85687,0.000827754
514.08163,0.000826355
514.3064,0.0008284
514.53118,0.000830144
514.75597,0.000841229
514.98078,0.000839614
515.2056,0.000843984
515.43044,0.000850979
515.65529,0.000873968
515.88015,0.000864562
516.10502,0.000891123
516.3299,0.000879371
516.5548,0.000893232
516.77972,0.000889466
517.00464,0.000916759
517.22958,0.000914736
517.45453,0.000920741
517.67949,0.000913272
517.90447,0.00092313
518.12946,0.000933936
518.35446,0.000949799
518.57947,0.000946571
518.8045,0.000961487
519.02954,0.000964931
519.25459,0.000976921
519.47966,0.000976641
519.70474,0.000980946
519.92983,0.000977459
520.15493,0.001004149
520.38005,0.001008347
520.60518,0.001014158
520.83033,0.001008863
521.05548,0.00101799
521.28065,0.001018399
521.50583,0.0010235
521.73103,0.001032476
521.95623,0.001031335
522.18145,0.001054173
522.40669,0.001060221
522.63193,0.001062998
522.85719,0.00105258
523.08246,0.001033552
523.30774,0.001063471
523.53304,0.001068637
523.75835,0.001082865
523.98367,0.0010746
524.20901,0.001078022
524.43436,0.001092422
524.65972,0.001101376
524.88509,0.001092573
525.11048,0.001088053
525.33587,0.001081014
525.56129,0.001103335
525.78671,0.001103077
526.01215,0.001111342
526.2376,0.001109642
526.46306,0.001133642
526.68853,0.001122428
526.91402,0.001113258
527.13952,0.001105165
527.36504,0.001096512
527.59056,0.001103787
527.8161,0.001117046
528.04165,0.001118725
528.26722,0.00112839
528.49279,0.001131941
528.71838,0.001124193
528.94398,0.001137409
529.1696,0.001124989
529.39523,0.001148257
529.62087,0.001138033
529.84652,0.00114081
530.07218,0.001161237
530.29786,0.001176089
530.52355,0.001178801
530.74926,0.001188186
530.97497,0.001172903
531.2007,0.001202198
531.42644,0.001179102
531.6522,0.001176325
531.87796,0.001171224
532.10374,0.00119262
532.32953,0.00118274
532.55534,0.001177746
532.78116,0.001184677
533.00698,0.001185064
533.23283,0.001174087
533.45868,0.001168534
533.68455,0.001166037
533.91043,0.001172752
534.13632,0.001162356
534.36223,0.001154951
534.58815,0.001158116
534.81408,0.001168899
535.04002,0.001165735
535.26597,0.001163927
535.49194,0.001169373
535.71792,0.001174905
535.94392,0.001181879
536.16992,0.001183924
536.39594,0.001177466
536.62197,0.001188595
536.84801,0.001202736
537.07407,0.001196257
537.30014,0.001198431
537.52622,0.001199335
537.75231,0.001213778
537.97842,0.001221075
538.20454,0.001227985
538.43067,0.001212896
538.65681,0.001240168
538.88297,0.001242837
539.10914,0.001252135
539.33532,0.001243719
539.56151,0.001253922
539.78772,0.001257947
540.01394,0.001255407
540.24017,0.001242751
540.46641,0.001255429
540.69267,0.001263651
540.91893,0.001250284
541.14522,0.001262101
541.37151,0.001258227
541.59781,0.001271206
541.82413,0.001255622
542.05046,0.001256914
542.27681,0.001254439
542.50316,0.001261154
542.72953,0.001251361
542.95591,0.001256699
543.1823,0.001253599
543.40871,0.001262553
543.63513,0.001246066
543.86156,0.001267978
544.088,0.001268322
544.31445,0.001285154
544.54092,0.001282227
544.7674,0.001283777
544.99389,0.001283734
545.2204,0.001280225
545.44691,0.001288598
545.67344,0.001285649
545.89999,0.001287479
546.12654,0.001284272
546.35311,0.001293183
